Geneid,Chr,Strand,NExons,P.Value,FDR
gene-Saraf,NC_000074.7,+,6,0.664273766435777,0.999995354919091
gene-E2f8,NC_000073.7,-,12,0.664358281572605,0.999995354919091
gene-Tppp3,NC_000074.7,-,6,0.664611874501851,0.999995354919091
gene-Tcte2,NC_000083.7,-,3,0.664681938172772,0.999995354919091
gene-Ccdc191,NC_000082.7,+,19,0.664849817264253,0.999995354919091
gene-Clxn,NC_000082.7,+,6,0.665083708613651,0.999995354919091
gene-Gm40830,NC_000079.7,+,2,0.665132973184942,0.999995354919091
gene-Ifngr1,NC_000076.7,+,7,0.665457055284233,0.999995354919091
gene-Slc27a4,NC_000068.8,+,13,0.665565675335057,0.999995354919091
gene-Noxo1,NC_000083.7,+,8,0.665786501101803,0.999995354919091
gene-Rasl11a,NC_000071.7,+,4,0.665846238296235,0.999995354919091
gene-Flvcr2,NC_000078.7,+,3,0.666105760882159,0.999995354919091
gene-Mir677,NC_000076.7,+,5,0.666114295917558,0.999995354919091
gene-Hsbp1,NC_000074.7,+,4,0.666548175814587,0.999995354919091
gene-Tmem59l,NC_000074.7,-,9,0.666784464987858,0.999995354919091
gene-Supt20,NC_000069.7,+,39,0.666810006448444,0.999995354919091
gene-Arap2,NC_000071.7,-,31,0.667336135472996,0.999995354919091
gene-Ly6g6e,NC_000083.7,+,4,0.667438741661254,0.999995354919091
gene-Triqk,NC_000070.7,+,6,0.667476610576828,0.999995354919091
gene-Stac3,NC_000076.7,+,11,0.667551944483873,0.999995354919091
gene-Gtf2h3,NC_000071.7,+,13,0.667639166821186,0.999995354919091
gene-Sdccag8,NC_000067.7,+,20,0.667720435815088,0.999995354919091
gene-Pla2g4e,NC_000068.8,-,20,0.667830919000819,0.999995354919091
gene-Prelp,NC_000067.7,-,2,0.667836266640403,0.999995354919091
gene-Mfge8,NC_000073.7,-,10,0.667888286480459,0.999995354919091
gene-Dnaaf2,NC_000078.7,-,3,0.667891593661467,0.999995354919091
gene-Pyurf,NC_000072.7,-,2,0.667900681816349,0.999995354919091
gene-1700003E16Rik,NC_000072.7,+,3,0.668002508885812,0.999995354919091
gene-Tubgcp6,NC_000081.7,-,30,0.668097496115112,0.999995354919091
gene-Actg1,NC_000077.7,-,7,0.668127945576589,0.999995354919091
gene-Tspan12,NC_000072.7,-,9,0.668227311669959,0.999995354919091
gene-Ccni,NC_000071.7,-,8,0.668268438575529,0.999995354919091
gene-Gpr173,NC_000086.8,-,6,0.668269509647179,0.999995354919091
gene-Mir7650,NC_000075.7,+,3,0.668290295824694,0.999995354919091
gene-Gm38837,NC_000072.7,-,2,0.668409489662065,0.999995354919091
gene-Pwwp2b,NC_000073.7,+,3,0.668420485972127,0.999995354919091
gene-Slc26a11,NC_000077.7,+,6,0.668494073261891,0.999995354919091
gene-Trappc2,NC_000086.8,+,6,0.668794193900273,0.999995354919091
gene-Dus1l,NC_000077.7,-,23,0.668946864935866,0.999995354919091
gene-Eri3,NC_000070.7,+,23,0.669516189127904,0.999995354919091
gene-Adprh,NC_000082.7,-,4,0.669584259794029,0.999995354919091
gene-Stac2,NC_000077.7,-,11,0.669814833295648,0.999995354919091
gene-Mars1,NC_000076.7,-,24,0.669879485468026,0.999995354919091
gene-Pex3,NC_000076.7,-,13,0.669956537542423,0.999995354919091
gene-Dclk3,NC_000075.7,+,4,0.669959273053139,0.999995354919091
gene-Mir124-2hg,NC_000069.7,+,3,0.670030230965741,0.999995354919091
gene-Tsku,NC_000073.7,-,4,0.67055773220283,0.999995354919091
gene-Zfand4,NC_000072.7,+,6,0.670578236090561,0.999995354919091
gene-Mcm9,NC_000076.7,-,3,0.670617387113988,0.999995354919091
gene-Ccdc90b,NC_000073.7,+,11,0.67071964335275,0.999995354919091
gene-Gm32528,NC_000071.7,-,2,0.670915367264117,0.999995354919091
gene-2810002D19Rik,NC_000068.8,+,2,0.670985276351328,0.999995354919091
gene-Bmal2,NC_000072.7,+,2,0.671016162702983,0.999995354919091
gene-Rassf7,NC_000073.7,+,6,0.671166438290903,0.999995354919091
gene-Lhfpl3,NC_000071.7,+,3,0.671246909329332,0.999995354919091
gene-Plcb4,NC_000068.8,+,36,0.671440465904238,0.999995354919091
gene-Slc7a6,NC_000074.7,+,17,0.671531905458421,0.999995354919091
gene-Slx4ip,NC_000068.8,+,9,0.671599890252693,0.999995354919091
gene-Otx2,NC_000080.7,-,3,0.671672571389991,0.999995354919091
gene-Fam118b,NC_000075.7,-,9,0.671701221796921,0.999995354919091
gene-Vps25,NC_000077.7,+,6,0.671749512567084,0.999995354919091
gene-Xrcc6,NC_000081.7,+,13,0.671795989056815,0.999995354919091
gene-Plscr3,NC_000077.7,+,18,0.67188116380432,0.999995354919091
gene-Mettl1,NC_000076.7,+,7,0.672125767157554,0.999995354919091
gene-Mdh2,NC_000071.7,+,9,0.672199783150681,0.999995354919091
gene-Cldnd1,NC_000082.7,+,8,0.672262050322589,0.999995354919091
gene-Ephb4,NC_000071.7,+,17,0.672503810752117,0.999995354919091
gene-2410018L13Rik,NC_000078.7,-,4,0.672573628336834,0.999995354919091
gene-Zfp791,NC_000074.7,-,4,0.6726726769906,0.999995354919091
gene-Kat2b,NC_000083.7,+,19,0.672685457570951,0.999995354919091
gene-Nsg1,NC_000071.7,-,8,0.67283718477754,0.999995354919091
gene-Plin3,NC_000083.7,-,7,0.672882174114667,0.999995354919091
gene-Ralbp1,NC_000083.7,-,11,0.673032098102229,0.999995354919091
gene-Crb2,NC_000068.8,+,14,0.673089873893387,0.999995354919091
gene-Pcolce,NC_000071.7,-,2,0.673137116996084,0.999995354919091
gene-Gm9222,NC_000078.7,+,16,0.673266066413081,0.999995354919091
gene-Nelfb,NC_000068.8,-,14,0.673311835109465,0.999995354919091
gene-Slc27a2,NC_000068.8,+,8,0.673527079992216,0.999995354919091
gene-Nell1,NC_000073.7,+,20,0.67353589784021,0.999995354919091
gene-Gstt1,NC_000076.7,-,5,0.673542240453101,0.999995354919091
gene-Dimt1,NC_000079.7,+,16,0.673662263767159,0.999995354919091
gene-Mfsd3,NC_000081.7,+,5,0.673780160390933,0.999995354919091
gene-Gm5785,NC_000078.7,+,2,0.67378718921852,0.999995354919091
gene-Usp2,NC_000075.7,+,12,0.673927356474962,0.999995354919091
gene-Prxl2a,NC_000080.7,-,8,0.673943220743321,0.999995354919091
gene-Trub2,NC_000068.8,-,11,0.674510806917824,0.999995354919091
gene-Gm5796,NC_000080.7,-,4,0.674565487751634,0.999995354919091
gene-Ubb-ps,NC_000080.7,+,2,0.674745830861148,0.999995354919091
gene-Zfp677,NC_000083.7,+,4,0.674791961259227,0.999995354919091
gene-Zfp65,NC_000079.7,-,6,0.674885057698335,0.999995354919091
gene-Grcc10,NC_000072.7,-,3,0.675050906103392,0.999995354919091
gene-Podn,NC_000070.7,-,10,0.675266919136196,0.999995354919091
gene-Erg,NC_000082.7,-,2,0.675494317567014,0.999995354919091
gene-Dynlt1c,NC_000083.7,+,10,0.675541589689517,0.999995354919091
gene-Metap1,NC_000069.7,-,11,0.675618938567982,0.999995354919091
gene-Prkab1,NC_000071.7,-,9,0.675630042048553,0.999995354919091
gene-Gpx8,NC_000079.7,-,3,0.675644172744227,0.999995354919091
gene-Pcsk7,NC_000075.7,+,27,0.675671910227823,0.999995354919091
gene-Snx1,NC_000075.7,-,15,0.675692936656883,0.999995354919091
gene-Cep63,NC_000075.7,-,27,0.675693609195997,0.999995354919091
gene-Kif20a,NC_000084.7,+,19,0.675840989890426,0.999995354919091
gene-Zfp354b,NC_000077.7,-,5,0.675962419468699,0.999995354919091
gene-Atf1,NC_000081.7,+,7,0.67603767454695,0.999995354919091
gene-Slc35e2,NC_000070.7,+,10,0.676201227777517,0.999995354919091
gene-Tmt1a,NC_000081.7,+,2,0.676245156767117,0.999995354919091
gene-Gm36488,NC_000070.7,-,2,0.676292504264854,0.999995354919091
gene-S100pbp,NC_000070.7,-,13,0.676327639787532,0.999995354919091
gene-Mcm7,NC_000071.7,-,18,0.676361475700641,0.999995354919091
gene-Gpr75,NC_000077.7,+,2,0.676541640394694,0.999995354919091
gene-Ptx3,NC_000069.7,+,3,0.676724446244835,0.999995354919091
gene-Arsg,NC_000077.7,+,6,0.676775848991044,0.999995354919091
gene-Armcx1,NC_000086.8,+,9,0.67679060522888,0.999995354919091
gene-Uxt,NC_000086.8,-,10,0.676922166486808,0.999995354919091
gene-Zrsr2,NC_000086.8,-,13,0.677008210186685,0.999995354919091
gene-Mis18bp1,NC_000078.7,-,17,0.677094076184899,0.999995354919091
gene-Plcd1,NC_000075.7,-,16,0.677210967073411,0.999995354919091
gene-Sbk3,NC_000073.7,-,3,0.677215994489846,0.999995354919091
gene-Vit,NC_000083.7,+,15,0.677247991415665,0.999995354919091
gene-Zfp748,NC_000079.7,-,4,0.677250442127357,0.999995354919091
gene-B9d2,NC_000073.7,+,4,0.677340352631755,0.999995354919091
gene-Adsl,NC_000081.7,+,13,0.677475618224541,0.999995354919091
gene-Sapcd2,NC_000068.8,+,8,0.677595796939326,0.999995354919091
gene-Ankrd13d,NC_000085.7,-,15,0.677607863044877,0.999995354919091
gene-Dut,NC_000068.8,+,8,0.677608436947993,0.999995354919091
gene-Pigyl,NC_000075.7,+,2,0.677696496589318,0.999995354919091
gene-Upf3b,NC_000086.8,-,15,0.677842353983726,0.999995354919091
gene-Gpx7,NC_000070.7,-,3,0.677855991265571,0.999995354919091
gene-Krcc1,NC_000072.7,+,3,0.678068826082526,0.999995354919091
gene-Kcng1,NC_000068.8,-,3,0.678166659758852,0.999995354919091
gene-Actl6b,NC_000071.7,+,17,0.678421527921386,0.999995354919091
gene-Ska2,NC_000077.7,+,4,0.678526162785313,0.999995354919091
gene-5730480H06Rik,NC_000071.7,+,2,0.678596143148417,0.999995354919091
gene-Ppp4r1l-ps,NC_000068.8,-,14,0.678626862544959,0.999995354919091
gene-Tchp,NC_000071.7,+,14,0.678677395695427,0.999995354919091
gene-Rgs16,NC_000067.7,+,5,0.67868151425305,0.999995354919091
gene-Fam174a,NC_000067.7,+,3,0.678818381761,0.999995354919091
gene-Tbc1d25,NC_000086.8,-,7,0.678854464296209,0.999995354919091
gene-Slc18b1,NC_000076.7,+,15,0.678984765530246,0.999995354919091
gene-Natd1,NC_000077.7,-,3,0.678996658052376,0.999995354919091
gene-Pde3a,NC_000072.7,+,11,0.678998424318654,0.999995354919091
gene-C230034O21Rik,NC_000069.7,-,2,0.679022239140431,0.999995354919091
gene-Rab10os,NC_000078.7,+,7,0.679224031260214,0.999995354919091
gene-Gm48552,NC_000076.7,+,2,0.679267636552796,0.999995354919091
gene-Oat,NC_000073.7,-,10,0.679395598438868,0.999995354919091
gene-Gm35515,NC_000071.7,+,2,0.679518947828523,0.999995354919091
gene-Sox18,NC_000068.8,-,2,0.679608359738446,0.999995354919091
gene-Suv39h1,NC_000086.8,-,8,0.679639255256712,0.999995354919091
gene-Pip5k1a,NC_000069.7,-,17,0.680142542574156,0.999995354919091
gene-Hmbs,NC_000075.7,-,14,0.680315002488052,0.999995354919091
gene-Btd,NC_000080.7,+,4,0.680506873882533,0.999995354919091
gene-Minar2,NC_000084.7,+,7,0.680789637152841,0.999995354919091
gene-Klhl17,NC_000070.7,-,12,0.680790845102309,0.999995354919091
gene-Rnd1,NC_000081.7,-,5,0.681023457558272,0.999995354919091
gene-Abcc1,NC_000082.7,+,33,0.681374371157712,0.999995354919091
gene-Washc1,NC_000083.7,+,17,0.681452091624104,0.999995354919091
gene-Lrrc20,NC_000076.7,+,7,0.681642687470847,0.999995354919091
gene-Gm12198,NC_000077.7,-,2,0.681817633268956,0.999995354919091
gene-Bcl2l2,NC_000080.7,+,6,0.681874289476601,0.999995354919091
gene-Sec11c,NC_000084.7,+,6,0.681948601069946,0.999995354919091
gene-Gm12655,NC_000070.7,-,2,0.682144958256857,0.999995354919091
gene-Adprm,NC_000077.7,-,6,0.68220198028701,0.999995354919091
gene-Tmem205,NC_000075.7,-,10,0.682206798608842,0.999995354919091
gene-Nutf2,NC_000074.7,+,6,0.682243490761316,0.999995354919091
gene-Brk1,NC_000072.7,+,3,0.682681801559769,0.999995354919091
gene-Tmem198,NC_000067.7,+,6,0.682690408486214,0.999995354919091
gene-Cryz,NC_000069.7,+,9,0.683083761936344,0.999995354919091
gene-Txndc9,NC_000067.7,-,8,0.683183375839828,0.999995354919091
gene-Akr1c19,NC_000079.7,+,4,0.683298129845015,0.999995354919091
gene-Rcc2,NC_000070.7,+,12,0.683490753656632,0.999995354919091
gene-Swap70,NC_000073.7,+,11,0.68408615929309,0.999995354919091
gene-Aste1,NC_000075.7,+,13,0.68421660622482,0.999995354919091
gene-Nfatc2,NC_000068.8,-,6,0.684260939108004,0.999995354919091
gene-Adamts19,NC_000084.7,+,2,0.684284803057331,0.999995354919091
gene-Ankrd13b,NC_000077.7,-,25,0.684701909710177,0.999995354919091
gene-Gucy1b2,NC_000080.7,-,3,0.684759468407209,0.999995354919091
gene-Rnf40,NC_000073.7,+,22,0.684816475817458,0.999995354919091
gene-Gm15728,NC_000071.7,+,2,0.68495475164859,0.999995354919091
gene-Cenpl,NC_000067.7,+,6,0.685064824241015,0.999995354919091
gene-Chek1,NC_000075.7,-,12,0.685158359402598,0.999995354919091
gene-Gm28455,NC_000073.7,+,7,0.685269312207858,0.999995354919091
gene-Gm45927,NC_000069.7,+,20,0.685388715679044,0.999995354919091
gene-Zcchc17,NC_000070.7,-,9,0.685483779453548,0.999995354919091
gene-Srd5a1,NC_000079.7,-,6,0.685622733111662,0.999995354919091
gene-Plk4,NC_000069.7,+,19,0.685844089032648,0.999995354919091
gene-Tha1,NC_000077.7,-,6,0.685905906972187,0.999995354919091
gene-Mapre3,NC_000071.7,+,10,0.685956646648949,0.999995354919091
gene-Gm3752,NC_000080.7,+,3,0.686044408969577,0.999995354919091
gene-Vxn,NC_000067.7,+,6,0.68606602293118,0.999995354919091
gene-Zfp33b,NC_000071.7,+,5,0.686133363081387,0.999995354919091
gene-Sinhcaf,NC_000072.7,-,6,0.686137306068982,0.999995354919091
gene-2600014E21Rik,NC_000068.8,+,15,0.686200944157738,0.999995354919091
gene-Appl2,NC_000076.7,-,30,0.686259719432672,0.999995354919091
gene-Creb3l2,NC_000072.7,-,6,0.68639928995614,0.999995354919091
gene-Tbl3,NC_000083.7,-,22,0.686467904039144,0.999995354919091
gene-Chd1l,NC_000069.7,-,18,0.686522086743675,0.999995354919091
gene-Vps37b,NC_000071.7,-,4,0.686548909563877,0.999995354919091
gene-Dennd1c,NC_000083.7,-,10,0.686583780783214,0.999995354919091
gene-Gal3st3,NC_000085.7,+,3,0.686605541376166,0.999995354919091
gene-Nceh1,NC_000069.7,+,5,0.686628955710949,0.999995354919091
gene-C2cd2,NC_000082.7,-,16,0.686761344769658,0.999995354919091
gene-Dmac2,NC_000073.7,+,7,0.686799266483296,0.999995354919091
gene-Tmem97,NC_000077.7,-,3,0.686817450485418,0.999995354919091
gene-Vkorc1l1,NC_000071.7,+,4,0.686883218711844,0.999995354919091
gene-Tbc1d10a,NC_000077.7,+,9,0.687021992796817,0.999995354919091
gene-Lmcd1,NC_000072.7,+,6,0.687048119137033,0.999995354919091
gene-Rnd3,NC_000068.8,-,5,0.687158855781981,0.999995354919091
gene-Crtap,NC_000075.7,-,7,0.687187696302091,0.999995354919091
gene-Mir670hg,NC_000068.8,-,3,0.687246704870149,0.999995354919091
gene-Pimreg,NC_000077.7,+,7,0.687264419602686,0.999995354919091
gene-Rif1,NC_000068.8,+,36,0.687447650850454,0.999995354919091
gene-Pnpla3,NC_000081.7,+,13,0.687570525181981,0.999995354919091
gene-Ston2,NC_000078.7,-,4,0.687587965023106,0.999995354919091
gene-Gm57630,NC_000082.7,-,2,0.687628651449311,0.999995354919091
gene-Gm41284,NC_000081.7,+,2,0.687722994706542,0.999995354919091
gene-Dock6,NC_000075.7,-,55,0.687779576004328,0.999995354919091
gene-Tmem64,NC_000070.7,+,3,0.687986832619434,0.999995354919091
gene-Zfp956,NC_000072.7,+,5,0.688077683790608,0.999995354919091
gene-Trim32,NC_000070.7,+,7,0.688120870262233,0.999995354919091
gene-Npc2,NC_000078.7,-,4,0.688249196341455,0.999995354919091
gene-2210016L21Rik,NC_000071.7,+,9,0.68841263897913,0.999995354919091
gene-Tceal1,NC_000086.8,+,2,0.688672568341885,0.999995354919091
gene-Taf6,NC_000071.7,-,20,0.688955562913359,0.999995354919091
gene-Gap43,NC_000082.7,-,3,0.688956696889034,0.999995354919091
gene-Diras2,NC_000079.7,-,2,0.688962875152142,0.999995354919091
gene-Sugp2,NC_000074.7,+,19,0.689100891364625,0.999995354919091
gene-Foxj1,NC_000077.7,-,4,0.689165729478493,0.999995354919091
gene-Erp44,NC_000070.7,-,12,0.689176843467707,0.999995354919091
gene-Amfr,NC_000074.7,-,17,0.689600841854104,0.999995354919091
gene-Clcn2,NC_000082.7,-,32,0.689822043452909,0.999995354919091
gene-2900009J06Rik,NC_000067.7,-,2,0.690010888436474,0.999995354919091
gene-Rsph9,NC_000083.7,-,6,0.690099429084403,0.999995354919091
gene-Slc2a12,NC_000076.7,+,2,0.690105326277176,0.999995354919091
gene-Radil,NC_000071.7,-,17,0.690214023920222,0.999995354919091
gene-Ppp1r3c,NC_000085.7,-,2,0.690294258884297,0.999995354919091
gene-Gcdh,NC_000074.7,-,13,0.690307999871022,0.999995354919091
gene-Rbm43,NC_000068.8,-,5,0.690361233762448,0.999995354919091
gene-H3f3b,NC_000077.7,-,5,0.690379331310007,0.999995354919091
gene-Fastkd5,NC_000068.8,-,3,0.690432789661759,0.999995354919091
gene-Vat1l,NC_000074.7,+,10,0.690532434152053,0.999995354919091
gene-Gm36556,NC_000077.7,-,5,0.690748888067315,0.999995354919091
gene-Cdk2ap1,NC_000071.7,-,4,0.690784331346587,0.999995354919091
gene-Psme3,NC_000077.7,+,13,0.690863868848089,0.999995354919091
gene-Acta1,NC_000074.7,-,2,0.691343486105692,0.999995354919091
gene-Gm46878,NC_000070.7,+,5,0.691695465216,0.999995354919091
gene-Hsd17b8,NC_000083.7,-,9,0.691703683960376,0.999995354919091
gene-Mir3062,NC_000077.7,-,2,0.691806182483625,0.999995354919091
gene-Sfrp5,NC_000085.7,-,2,0.691813060614061,0.999995354919091
gene-Dyrk3,NC_000067.7,-,4,0.691961761388394,0.999995354919091
gene-Cyp46a1,NC_000078.7,+,16,0.692052903589601,0.999995354919091
gene-Efemp2,NC_000085.7,+,13,0.692239558569574,0.999995354919091
gene-Llph,NC_000076.7,+,4,0.69248435448706,0.999995354919091
gene-Gm52889,NC_000072.7,-,2,0.692525003990546,0.999995354919091
gene-Bcl2l12,NC_000073.7,-,9,0.692667279990438,0.999995354919091
gene-Sirt5,NC_000079.7,+,13,0.692751761421512,0.999995354919091
gene-Ints5,NC_000085.7,+,2,0.692765291563864,0.999995354919091
gene-Slc2a4rg-ps,NC_000068.8,+,3,0.692866740019259,0.999995354919091
gene-Rpl23,NC_000077.7,-,5,0.693080820342201,0.999995354919091
gene-Crlf1,NC_000074.7,+,13,0.693247049219245,0.999995354919091
gene-Fam53c,NC_000084.7,+,5,0.693328799121785,0.999995354919091
gene-Adam11,NC_000077.7,+,34,0.693347140139671,0.999995354919091
gene-Cast,NC_000079.7,-,13,0.693434014610768,0.999995354919091
gene-Rab33a,NC_000086.8,+,6,0.693518832710077,0.999995354919091
gene-Nol4,NC_000084.7,-,16,0.693556020976391,0.999995354919091
gene-Gm14502,NC_000086.8,-,4,0.69368009586574,0.999995354919091
gene-Gli1,NC_000076.7,-,7,0.693688500597833,0.999995354919091
gene-Wtap,NC_000083.7,-,11,0.693720775400322,0.999995354919091
gene-Mospd1,NC_000086.8,-,9,0.693791198902922,0.999995354919091
gene-Snta1,NC_000068.8,-,8,0.693795187292276,0.999995354919091
gene-Gm51558,NC_000074.7,+,2,0.693830654485119,0.999995354919091
gene-Bbs2,NC_000074.7,-,19,0.694094963796652,0.999995354919091
gene-Kremen1,NC_000077.7,-,8,0.694318981173718,0.999995354919091
gene-Tmem214,NC_000071.7,+,19,0.69436408364828,0.999995354919091
gene-Ubxn11,NC_000070.7,+,22,0.694619215832558,0.999995354919091
gene-Pak1,NC_000073.7,+,17,0.694623025398514,0.999995354919091
gene-Lrig1,NC_000072.7,-,22,0.694829585840908,0.999995354919091
gene-Slc18a2,NC_000085.7,+,16,0.694913105376996,0.999995354919091
gene-Lrrc61,NC_000072.7,+,5,0.694989486729434,0.999995354919091
gene-Ndufb7,NC_000074.7,+,3,0.69524163032396,0.999995354919091
gene-Lrrc23,NC_000072.7,-,2,0.695309719298714,0.999995354919091
gene-Leng8,NC_000073.7,+,24,0.69532552277781,0.999995354919091
gene-Tmem38b,NC_000070.7,+,6,0.695582860777953,0.999995354919091
gene-2810049E08Rik,NC_000079.7,+,2,0.695728058338838,0.999995354919091
gene-Mir99ahg,NC_000082.7,+,4,0.695736439385787,0.999995354919091
gene-Lrrcc1,NC_000069.7,+,23,0.695814075218246,0.999995354919091
gene-Nsdhl,NC_000086.8,+,8,0.695899922652153,0.999995354919091
gene-Sik1,NC_000083.7,-,14,0.695957327896751,0.999995354919091
gene-Mob3a,NC_000076.7,-,5,0.696075345772638,0.999995354919091
gene-Gm15912,NC_000079.7,-,2,0.69638934506395,0.999995354919091
gene-Spdl1,NC_000077.7,-,10,0.696434195429346,0.999995354919091
gene-Plekhh2,NC_000083.7,+,2,0.696480468515934,0.999995354919091
gene-Aaas,NC_000081.7,-,16,0.69668529008407,0.999995354919091
gene-Kcnh1,NC_000067.7,+,9,0.696695342436068,0.999995354919091
gene-Nebl,NC_000068.8,-,10,0.696742253137732,0.999995354919091
gene-2810032G03Rik,NC_000078.7,+,2,0.696942443460441,0.999995354919091
gene-Dnajb4,NC_000069.7,-,9,0.69704527911121,0.999995354919091
gene-L3hypdh,NC_000078.7,-,7,0.69718986274213,0.999995354919091
gene-Gprasp2,NC_000086.8,+,13,0.697212491091609,0.999995354919091
gene-Snapc2,NC_000074.7,+,5,0.69725551505597,0.999995354919091
gene-Dnajc27,NC_000078.7,+,13,0.697387347579714,0.999995354919091
gene-Nmnat1,NC_000070.7,-,5,0.697528315591609,0.999995354919091
gene-Trpc4,NC_000069.7,+,20,0.697531566746382,0.999995354919091
gene-Zfp408,NC_000068.8,-,11,0.697567363319237,0.999995354919091
gene-Surf4,NC_000068.8,-,7,0.697711441810556,0.999995354919091
gene-Ppp1r2,NC_000082.7,-,6,0.697770971084877,0.999995354919091
gene-Rpl15,NC_000080.7,+,7,0.697817031117687,0.999995354919091
gene-E2f4,NC_000074.7,+,10,0.697867543574193,0.999995354919091
gene-Gm41396,NC_000081.7,+,4,0.697932143395653,0.999995354919091
gene-Gm3558,NC_000080.7,+,2,0.697934228650525,0.999995354919091
gene-Pgk1,NC_000086.8,+,11,0.697952252681847,0.999995354919091
gene-Aplp1,NC_000073.7,-,17,0.697962668189099,0.999995354919091
gene-Ramac,NC_000073.7,+,3,0.698049300958319,0.999995354919091
gene-Cacng3,NC_000073.7,+,4,0.698138180609428,0.999995354919091
gene-Scrn2,NC_000077.7,+,8,0.698331935199988,0.999995354919091
gene-C1qtnf4,NC_000068.8,+,6,0.698501373385758,0.999995354919091
gene-Gabra5,NC_000073.7,-,12,0.698509637644273,0.999995354919091
gene-Snx25,NC_000074.7,-,21,0.698518089252895,0.999995354919091
gene-Gm5165,NC_000083.7,+,3,0.698593395334621,0.999995354919091
gene-Mmp24,NC_000068.8,+,10,0.69866787727594,0.999995354919091
gene-Hes1,NC_000082.7,+,6,0.698766255768507,0.999995354919091
gene-Efna2,NC_000076.7,+,4,0.69877350488725,0.999995354919091
gene-Mcrip1,NC_000077.7,-,6,0.698796966459083,0.999995354919091
gene-Usp16,NC_000082.7,+,22,0.698858881675849,0.999995354919091
gene-Cep78,NC_000085.7,-,18,0.69899389089239,0.999995354919091
gene-Rpl11,NC_000070.7,-,9,0.699135746607414,0.999995354919091
gene-Lime1,NC_000068.8,+,5,0.699192282421577,0.999995354919091
gene-Tlcd5,NC_000075.7,-,5,0.699333332682932,0.999995354919091
gene-Tmem86a,NC_000073.7,+,3,0.699459157969837,0.999995354919091
